iter	Passed	Remaining
193	387	1608
194	387	1601
195	388	1593
196	389	1586
197	389	1579
198	390	1572
199	391	1565
200	392	1559
201	392	1552
202	393	1545
203	394	1539
204	395	1532
205	396	1526
206	396	1520
207	397	1514
208	398	1509
209	399	1503
210	400	1497
211	401	1491
212	401	1484
213	402	1478
214	403	1472
215	403	1466
216	404	1460
217	405	1454
218	406	1448
219	406	1442
220	407	1436
221	408	1430
222	408	1424
223	409	1419
224	410	1414
225	411	1408
226	412	1403
227	413	1398
228	414	1394
229	414	1388
230	415	1383
231	416	1378
232	417	1373
233	418	1368
234	418	1363
235	419	1358
236	420	1353
237	421	1348
238	421	1342
239	422	1337
240	423	1332
241	423	1327
242	424	1322
243	425	1317
244	425	1312
245	426	1307
246	427	1302
247	428	1297
248	429	1294
249	429	1289
250	430	1286
251	431	1281
252	432	1277
253	433	1272
254	433	1267
255	434	1263
256	435	1258
257	435	1253
258	436	1248
259	437	1244
260	438	1240
261	438	1236
262	439	1231
263	440	1227
264	440	1222
265	441	1218
266	442	1214
267	443	1210
268	444	1206
269	444	1202
270	445	1198
271	446	1194
272	447	1190
273	447	1186
274	448	1182
275	449	1178
276	450	1174
277	450	1171
278	451	1166
279	452	1163
280	453	1159
281	453	1155
282	454	1151
283	455	1147
284	455	1143
285	456	1139
286	457	1135
287	457	1131
288	458	1128
289	459	1126
290	460	1122
291	461	1118
292	462	1115
293	462	1111
294	463	1107
295	464	1104
296	464	1100
297	465	1096
298	466	1093
299	467	1089
300	467	1086
301	468	1083
302	469	1079
303	470	1076
304	470	1072
305	471	1069
306	472	1065
307	472	1062
308	473	1059
309	474	1056
310	475	1053
311	476	1050
312	477	1047
313	477	1043
314	478	1040
315	479	1037
316	479	1033
317	480	1030
318	481	1028
319	482	1025
320	483	1021
321	483	1018
322	484	1015
323	485	1012
324	485	1009
325	486	1006
326	487	1003
327	488	1000
328	489	997
329	490	995
330	491	992
331	491	989
332	492	986
333	493	983
334	493	980
335	494	977
336	495	975
337	496	972
338	497	969
339	497	966
340	498	963
341	499	960
342	499	957
343	500	954
344	501	951
345	501	948
346	502	945
347	503	942
348	504	941
349	505	938
350	506	935
351	507	933
352	507	930
353	508	928
354	509	925
355	509	922
356	510	919
357	511	916
358	511	914
359	512	911
360	513	908
361	514	906
362	514	903
363	515	901
364	516	898
365	517	896
366	518	893
367	518	891
368	520	889
369	520	886
370	521	884
371	522	881
372	523	879
373	523	876
374	524	874
375	525	871
376	526	869
377	527	867
378	527	864
379	528	862
380	529	860
381	530	857
382	531	856
383	532	853
384	533	851
385	533	849
386	534	846
387	535	845
388	536	843
389	537	840
390	538	837
391	538	835
392	539	833
393	540	830
394	540	828
395	541	826
396	542	823
397	543	821
398	543	819
399	544	817
400	545	814
401	546	812
402	546	809
403	547	807
404	548	805
405	549	803
406	550	801
407	550	799
408	551	797
409	552	794
410	553	792
411	553	790
412	554	788
413	555	786
414	556	783
415	556	781
416	557	779
417	558	777
418	558	775
419	559	772
420	560	770
421	561	768
422	561	766
423	562	764
424	563	761
425	563	759
426	564	758
427	566	756
428	566	754
429	567	752
430	568	750
431	569	748
432	570	746
433	570	744
434	571	742
435	572	740
436	573	738
437	573	736
438	574	734
439	575	732
440	576	730
441	577	728
442	578	726
443	579	725
444	580	723
445	581	722
446	582	720
447	582	718
448	583	716
449	584	714
450	584	711
451	585	709
452	586	707
453	586	705
454	587	703
455	588	701
456	589	699
457	589	697
458	590	695
459	591	694
460	592	692
461	593	690
462	593	688
463	594	686
464	595	684
465	596	683
466	596	681
467	597	679
468	598	677
469	598	675
470	599	673
471	600	671
472	600	669
473	601	667
474	602	665
475	602	663
